code,title,genre,age,openDate,rate,participate,actors,story,,,,,,,,,,,,,,,
197068,고양이들의 아파트 : 네이버 영화,다큐멘터리,전체 관람가, 2022.03.17,7.87,77,김포도,이인규,김수만,서울 동쪽 끝, 거대한 아파트 단지.<br/>그곳은 오래도록 고양이들과 사람들이 함께 마음껏 뛰놀고<br/>사랑과 기쁨을 주었던 모두의 천국이었다.<br/><br/>하지만 재건축을 앞두고 곧 철거될 이곳을<br/>떠나려 하지 않는 고양이들을 걱정하는 사람들이 있다<br/><br/>"물어보고 싶어요. 여기 계속 살고 싶냐고"<br/><br/>고양이들과 사람들의 행복한 작별을 위한 <br/>아름다운 분투가 시작된다!,,,,,,,,,,,,
168125,곡녀 : 네이버 영화,,12세 관람가, 2022.03.31,6.4,5,정인철,조선팔도를 떠돌며 ‘상여소리’를 하던 남사당 여인 ‘산이’<br/>하룻밤 지새우려 찾은 초가에서 홀아비 ‘필쇠’를 만나<br/>남 부러울 것 없는 결혼 생활을 이어간다.<br/><br/>어느 날 곡 과거시험에 대한 방이 붙고,<br/>‘산이’는 과거를 보기 위해 한양으로 향한다.<br/><br/>시험을 치러 간 ‘산이’는 어쩐지 소식 하나 없고,<br/>‘필쇠’는 하염 없이 그녀를 기다리다<br/>어린 딸의 손을 잡고 한양으로 향하는데…,,,,,,,,,,,,,
196362,공기살인 : 네이버 영화,드라마,12세 관람가, 2022.04.22,8.5,843,김상경,이선빈,윤경호,봄이 되면 나타났다 여름이 되면 사라지는 죽음의 병.<br/>공기를 타고 대한민국에 죽음을 몰고 온 살인무기의 실체를 밝히기 위한 그들의 사투.<br/>증발된 범인, 피해자는 증발되지 않았다!,,,,,,,,,,,,
194096,괴물, 유령, 자유인 : 네이버 영화,SF,멜로/로맨스,15세 관람가, 2022.06.02,,,엄태나,윤해신,권기하,성심과 은수는 동성연인이다.<br/>사회에서는 결코 인정하지 않기에<br/>결국 서로에 대한 믿음은 깨지고 사랑은 실패하게 된다.<br/>성심은 삶에 대한 믿음을 잃으며 헤매이고,<br/>은수는 매일 밤 악몽에 시달린다.<br/><br/>한편 배우인 성철은 한 극단에서 스피노자를 연기하게 되면서<br/>유대인 공동체에선 이단자로, 기독교도 사이에서는 무신론자로 낙인찍혀<br/>이중으로 추방당한 스피노자의 삶을 직접 체험하게 되지만,<br/>그 어디에서도 그의 삶에서 해답을 찾을 순 없다.<br/><br/>그들을 짓누르는 것은 무엇일까?<br/>이 시대 진정한 자유의 길은 과연 있기는 한 것일까?<br/>괴물들과 유령들은 자유로워질 수 있을까?,,,,,,,
207480,굿 보스 : 네이버 영화,드라마,코미디,15세 관람가, 2022.02.10,7.57,141,하비에르 바르뎀,마놀로 솔로,알무데나 아모르,우수기업상 최종 후보에 오른 '블랑코 스케일즈'는<br/>골칫거리 직원들 때문에 수상이 물 건너갈 판이다.<br/><br/>사장 ‘블랑코’는 이를 해결하기 위해 직접 나서지만<br/>그가 개입할수록 상황은 점점 최악으로 치닫게 되고<br/>겉 보기에 완벽했던 ‘굿 보스’의 실체가 밝혀지는데…,,,,,,,,,,,,
208823,귀신 신나라- 전설의 고향 : 네이버 영화,멜로/로맨스,청소년 관람불가,2022.01,,,,산속 깊은 곳 홀어머니를 모시고 살던 호승.<br/>일본이 조선을 점령을 했든 세상이 격변엔 관심이 없고 먹고살고 그저 하루하루<br/>살아가는 청년이다.<br/>어머니가 돌아가시고 마음 기댈 곳 없어 자신이 좋다고 하는 근처 마을 사는 창기 수진과 가끔 잠자리를 갖는다.<br/>언제부턴가 들리는 바람소리인지 울음소리인지..<br/>점점 그에게 다가오는 희미한 형체를 보게 되는데..,,,,,,,,,,,,,,,
210029,그 남자는 타이타닉을 보고 싶지 않았다 : 네이버 영화,드라마,멜로/로맨스,12세 관람가, 2022.03.10,8.18,39,마리아나 마야라,난치병인 다발 경화증으로 시력과 기동성을 잃은 야코는 연인 시르파와 전화로 원거리 연애 중이다. 그러던 어느 날, 혈액염을 앓고 있는 시르파로부터 치료를 위한 약을 쓰면 죽을지도 모른다는 말을 듣는다. 야코는 천 킬로미터 떨어진 도시에 사는 연인을 만나기 위해서 안전한 집을 벗어나 위험천만한 여정을 떠나는데...,,,,,,,,,,,,,
213560,그날 : 네이버 영화,공포,15세 관람가, 2022.05.02,,,숀 애쉬모어,부모에게 벌어진 끔찍한 살인 사건을 목격한 충격으로<br/>극단적인 시도를 한 ‘세라’는<br/>모든 기억을 잃은 채 다시 눈을 뜬다.<br/><br/>자신을 남편이라고 소개한 낯선 남자 ‘닉’은<br/>매일 밤 끔찍한 악몽과 환각에 시달리는 그녀의 곁을 지키며 보듬어준다.<br/><br/>그러나 외부와의 접촉까지 차단하는 그의 실체가 점점 의심스러워지는데……<br/>조금씩 되살아나는 알 수 없는 기억,<br/><br/>모든 것이 낯설어진 그날,<br/>믿었던 모든 기억이 뒤틀린다!,,,,,,,,,,,,,
205860,그대 어이가리 : 네이버 영화,드라마,,2022,,,선동혁,정아미,김유미,국악인의 삶을 살던 동혁은 어느날 아내 연희와 모처럼 시골에 있는 별장으로 휴양을 간다.<br/>소소한 일상을 즐기던 어느날 연희의 이해 할수 없는 행동으로 병원을 찾게 되고...<br/>불치의 병에 걸렸다는 진단을 받은 연희로 인해 결국 서울로 돌아온 두 사람은그동안 누렸던 소소한 일상의 행복을<br/>뒤로 하고 전쟁같은 치열한 싸움을 시작 하게 된다. 그러던 어느날 두 사람에게 돌이킬수 없는 상황들이 기다리게 되는데...<br/><br/>Vancouver Independent Film Festival (September 2021) 'Best International Feature Film'<br/>Hollywood international Golden Age festival (October 2021) 'Best Intl. feature film'<br/>accolade global film competition (November 2021) 'awards of merit'<br/>South film and arts academy festival (November 2021) Best Indie Feature<br/>South film and arts academy festival (November 2021) Best Director In A Feature Film<br/>South film and arts academy festival (November 2021) Best Screenplay In A Feature Film<br/>South film and arts academy festival (November 2021) Best Lead Actor In A Feature Film (선동혁)<br/>South film and arts academy festival (November 2021) Best Cinematography In A Feature Film (김정호)<br/>South film and arts academy festival (November 2021) Best Production In A Feature Film<br/>black swan international film festival December 2021 Narrative Feature<br/>Best Istanbul Film Festival DECEMBER (2021-2022) SPECIAL SILVER WINNER Best Feature Film<br/>kansas arthouse film festival winter 2022 Best Intl. Feature Film<br/>Port Blair International Film Festival DECEMBER 2021 WINNER BEST DIRECTOR / FEATURE FILM<br/>Port Blair International Film Festival DECEMBER 2021 SPECIAL JURY AWARDS BEST INTERNATIONAL FEATURE FILM<br/>FIVE CONTINENTS INTERNATIONAL FILM FESTIVAL December - 2021 <br/>- Feature &amp;  Half ? Length Film Awards Best Indie Feature Film<br/>- Individual Awards Feature &amp; Half-Length Film Special Mention Director Feature Film<br/>- Individual Awards Feature &amp; Half-Length Film Best Screenplay Feature Film<br/>- Individual Awards Feature &amp; Half-Length Film Best Lead Actress Feature Film Ami Jung <br/>- Individual Awards Feature &amp; Half-Length Film Best Lead Actor Feature Film Donghyuk Sun<br/>- Individual Awards Feature &amp; Half-Length Film Best Team Performance Feature Film<br/>- Individual Awards Feature &amp; Half-Length Film Best Cinematography Feature Film Jungho Kim. Sukwhan Lee<br/>- Individual Awards Feature &amp; Half-Length Film Best Production Feature Film<br/>- Individual Awards Feature &amp; Half-Length Film Best Sound Design Feature Film Seungchul Lee<br/>- Individual Awards Feature &amp; Half-Length Film Best Costume Design Feature Film Yoosuk Lee<br/>- Others Best Poster<br/>Cult Critic Movie Awards MOVIE OF THE MONTH DECEMBER 2021 FEATURE FILMS<br/>Mountain View International Film Festival MOVIES OF THE MONTH December 2021 Narrative Feature<br/>9th Noida International Film Festival Best Screenplay<br/>VERGIN SPRING CINEFEST DECEMBER 2021 NARRATIVE FEATURES<br/>World Film Carnival ? Singapore DECEMBER 2021 CRITICS’ CHOICE AWARD<br/>Tagore International Film Festival FILMS OF THE MONTH ? DECEMBER 2021 OUTSTANDING ACHIEVEMENT AWARD<br/>London New Wave Film Festival Third Edition Jan/2021 Best Narrative Feature, Best Actor Donghyuk Sun,,,,,,,,,,,,
216100,그대가 조국 : 네이버 영화,다큐멘터리,12세 관람가, 2022.05.25,7.2,9,540,,대한민국은 민주공화국인가 검찰공화국인가<br/>검찰의 칼날이 그대에게 향하지 않는다고 자신할 수 있는가<br/>사냥이 시작됐다. 검찰이 던진 좌표를 따라 언론은 몰려들고 소문은 꼬리를 문다. 분노한 대중 앞에 검찰은 칼을 휘두른다. 저기 쫓기는 자는 누구인가. 그대가 아니라고 자신할 수 있는가.,,,,,,,,,,,,,,
