code,title,genre,age,openDate,rate,participate,actors,story,,,,,,,,,,,,,
209084,기문환생2: 강호혈투 : 네이버 영화,멜로/로맨스,12세 관람가, 2021.12.28,,,,리그 오브 레전드를 좋아하는 대학생의 혼이 수천 년 전 봉국 대왕 조부풍의 몸으로 들어가게 된다. 그는 봉국의 궁에 침투해 군사가 되려는 적국 양형 국의 간첩 하로호와 맞닥뜨린다. 미래를 내다보는 조부풍의 능력으로 하로호와 궁정싸움이 점점 치열해지는 가운데 그는 산신에게 의지하는 상황을 타개하고 모든 것을 잃을 상황을 극복 할 수 있을까?,,,,,,,,,,,,,
208856,기억의 시간 : 네이버 영화,멜로/로맨스,12세 관람가, 2021.12.08,,,이성열,,,,,,,,,,,,,,
201699,기우제 : 네이버 영화,드라마,,,,,,,,,,,,,,,,,,,
199860,기적 : 네이버 영화,드라마,12세 관람가, 2021.09.15,9.25,6,,,,,,,,,,,,,,,
208858,긴 하루 : 네이버 영화,드라마,12세 관람가, 2021.12.30,5.76,17,김동완,,,,,,,,,,,,,,
151961,까치발 : 네이버 영화,다큐멘터리,12세 관람가, 2021.06.03,8.19,21,권우정,,,,,,,,,,,,,,
199002,꼬마 마법사 레미 : 견습 마법사를 찾아서 : 네이버 영화,드라마,,,,,,,,,,,,,,,,,,,
200896,꽃다발 같은 사랑을 했다 : 네이버 영화,멜로/로맨스,12세 관람가, 2021.07.14,9.06,633,아리무라 카스미,,,,,,,,,,,,,,
167674,꽃손 : 네이버 영화,드라마,전체 관람가, 2021.12.02,6,2,김이안,,,,,,,,,,,,,,
205129,꿈꾸는 고양이 : 네이버 영화,다큐멘터리,전체 관람가, 2021.09.09,,,남기형,서울의 달동네,,,,,,,,,,,,,
188058,끝없음에 관하여 : 네이버 영화,드라마,12세 관람가, 2021.12.16,7.32,57,,한 커플이 있다. 서로 사랑하는 두 사람이 도시 위를 떠다니고 있었다.<br/>아름답기로 유명했지만 이제는 폐허가 된 도시다.<br/>또 믿음을 잃은 한 남자가 있다. 춤을 추는 여자가 있다 그리고…<br/><br/>우울을 안고 살아가는 이들을 위한 위로이자 <br/>인간이라는 우주에 관한 아름다운 연작시,,,,,,,,,,,,,
198327,나는 나대로 혼자서 간다 : 네이버 영화,드라마,12세 관람가, 2021.07.15,7.79,34,다나카 유코,,,,,,,,,,,,,,
194074,나는 나를 해고하지 않는다 : 네이버 영화,드라마,12세 관람가, 2021.01.28,8.02,313,유다인,,,,,,,,,,,,,,
197063,나는 조선사람입니다 : 네이버 영화,다큐멘터리,12세 관람가, 2021.12.09,8.62,218,강종헌,,,,,,,,,,,,,,
198994,나를 잡아줘 : 네이버 영화,멜로/로맨스,,,,,,,,,,,,,,,,,,,
205614,나만 보이니 : 네이버 영화,공포,,,,,,,,,,,,,,,,,,,
193993,나소흑전기: 첫만남편 : 네이버 영화,애니메이션,전체 관람가, 2021.04.22,8.41,95,손선영,,,,,,,,,,,,,,
189700,나의 끝,,,,,,,,,,,,,,,,,,,,
197589,나의 먼 가족 : 네이버 영화,,12세 관람가, 2021.04.01,,,,1. 부재: 대학 입시생인 소영은 등록금을 마련하기 위해 장학재단의 힘을 빌리려고 한다. 부모님의 공인인증서가 필요하다는 것을 알게 되고 행방이 묘연한 아버지 때문에 소영은 곤란한 상황에 빠진다.<br/>2. 잊혀진 하루: 같이 집에 있어도 대화는 커녕 인사조차 하지 않는 은숙의 가족. 이 집안의 엄마인 은숙은 이 관계를 회복시켜 보고자 노력하지만 가족들은 전혀 관심이 없다. 은숙의 생일 날,,,,,,,,,,,,,
179450,나의 작은 동무 : 네이버 영화,드라마,12세 관람가, 2021.01.14,9.29,7,탐벳 투이스크,1950년대 에스토니아,,,,,,,,,,,,,
196703,나의 흑역사 로맨티카 : 네이버 영화,멜로/로맨스,,,,,,,,,,,,,,,,,,,
200747,나이트 언데드 : 네이버 영화,미스터리,,,,,,,,,,,,,,,,,,,
183230,나폴리: 작은 갱들의 도시 : 네이버 영화,범죄,,,,,,,,,,,,,,,,,,,
37952,남색대문 : 네이버 영화,드라마,,,,,,,,,,,,,,,,,,,
201695,남의 나라 : 네이버 영화,코미디,,,,,,,,,,,,,,,,,,,
203716,낫아웃 : 네이버 영화,드라마,15세 관람가, 2021.06.03,7.75,235,정재광,,,,,,,,,,,,,,
201744,내가 날 부를 때 : 네이버 영화,드라마,12세 관람가, 2021.09.09,8.03,32,장쯔펑,,,,,,,,,,,,,,
203643,내가 죽기를 바라는 자들 : 네이버 영화,범죄,,,,,,,,,,,,,,,,,,,
201898,내겐 너무 소중한 너 : 네이버 영화,드라마,12세 관람가, 2021.05.12,9.2,435,진구,,,,,,,,,,,,,,
186484,내겐 너무 어려운 연애 : 네이버 영화,코미디,,,,,,,,,,,,,,,,,,,
201945,내일도 우린 사랑하고 있을까 : 네이버 영화,드라마,12세 관람가, 2021.03.11,,,안젤라베이비,,,,,,,,,,,,,,
185293,내일의 기억 : 네이버 영화,미스터리,,,,,,,,,,,,,,,,,,,
203715,너에게 가는 길 : 네이버 영화,다큐멘터리,12세 관람가, 2021.11.17,9.2,286,정은애,,,,,,,,,,,,,,
201908,네가 내가 되었으면 좋겠다 : 네이버 영화,멜로/로맨스,12세 관람가, 2021.06.01,,,김충길,,,,,,,,,,,,,,
202538,노 맨스 랜드 : 네이버 영화,액션,,,,,,,,,,,,,,,,,,,
189619,노가리 : 네이버 영화,드라마,12세 관람가, 2021.03.31,,,박민국,,,,,,,,,,,,,,
196215,노매드랜드 : 네이버 영화,드라마,12세 관람가,,,,,,,,,,,,,,,,,,
197520,노바디  : 네이버 영화,액션,,,,,,,,,,,,,,,,,,,
202379,노아의 방주 2: 새로운 세계로 : 네이버 영화,애니메이션,전체 관람가, 2021.12.09,8.23,13,안현서,,,,,,,,,,,,,,
196548,노웨어 스페셜 : 네이버 영화,드라마,전체 관람가, 2021.12.29,8.54,126,제임스 노턴,,,,,,,,,,,,,,
187729,노트르담 : 네이버 영화,코미디,,,,,,,,,,,,,,,,,,,
195986,노회찬6411 : 네이버 영화,다큐멘터리,12세 관람가, 2021.10.14,6.04,789,노회찬,시커메진 한국 정치의 판을 바꾸고자 했던 사람<br/>서민의 언어로 그들의 속을 시원하게 대변했던 사람<br/>함께 비를 맞으며 약자와 공감하고자 했던 사람<br/>법 앞에 만인이 평등하길 희망했던 사람<br/>누구나 악기 하나 정도는 다룰 수 있는 사회를 꿈꿨던 사람<br/>지금 더욱 그리운 이름<br/>노회찬의 진짜 이야기가 시작된다!,,,,,,,,,,,,,
196396,뉴 오더 : 네이버 영화,드라마,청소년 관람불가, 2021.11.11,7.7,88,나이안 곤살레스 노르빈드,,,,,,,,,,,,,,
195440,늑대와 빨간 재킷 : 네이버 영화,스릴러,청소년 관람불가, 2021.02.03,,,루시 드베이,,,,,,,,,,,,,,
206760,다이노 마이 프렌드 : 네이버 영화,애니메이션,,,,,,,,,,,,,,,,,,,
206579,다크 스펠 : 네이버 영화,멜로/로맨스,,,,,,,,,,,,,,,,,,,
193536,다크 앤드 위키드 : 네이버 영화,공포,15세 관람가, 2021.06.30,6.13,142,마린 아일랜드,,,,,,,,,,,,,,
192652,다함께 여름! : 네이버 영화,코미디,,,,,,,,,,,,,,,,,,,
206608,당신얼굴 앞에서 : 네이버 영화,드라마,15세 관람가, 2021.10.21,7.65,116,이혜영,,,,,,,,,,,,,,
195444,당신은 믿지 않겠지만 : 네이버 영화,드라마,12세 관람가, 2021.10.28,7.06,133,이케마츠 소스케,,,,,,,,,,,,,,
208982,당신은 학생인가 : 네이버 영화,다큐멘터리,전체 관람가, 2021.11.19,8.58,12,김민솔,,,,,,,,,,,,,,
189586,당신의 사월 : 네이버 영화,다큐멘터리,전체 관람가, 2021.04.01,4.83,363,이유경,,,,,,,,,,,,,,
201727,대테러부대: 팀 울프 : 네이버 영화,전쟁,,,,,,,,,,,,,,,,,,,
206939,대환장파티 : 네이버 영화,드라마,,,,,,,,,,,,,,,,,,,
206169,더 그레이트 샤크 : 네이버 영화,공포,,,,,,,,,,,,,,,,,,,
191443,더 나이트 : 네이버 영화,공포,,,,,,,,,,,,,,,,,,,
